name,position,points
Patrick Mahomes,QB,417.08
Matt Ryan,QB,354.96
Ben Roethlisberger,QB,341.86
Deshaun Watson,QB,331.7
Andrew Luck,QB,327.92
Aaron Rodgers,QB,312.58
Jared Goff,QB,310.32
Drew Brees,QB,304.98
Russell Wilson,QB,299.42
Dak Prescott,QB,285.9
Philip Rivers,QB,285.02
Kirk Cousins,QB,283.12
Cam Newton,QB,282.6
Tom Brady,QB,281.3
Mitchell Trubisky,QB,263.02
Baker Mayfield,QB,240.1
Eli Manning,QB,239.96
Derek Carr,QB,216.76
Case Keenum,QB,214.9
Matthew Stafford,QB,212.18
Josh Allen,QB,208.06
Jameis Winston,QB,195.78
Carson Wentz,QB,193.66
Marcus Mariota,QB,175.92
Andy Dalton,QB,174.54
Saquon Barkley,RB,385.8
Christian McCaffrey,RB,385.5
Todd Gurley,RB,372.1
Alvin Kamara,RB,354.2
Ezekiel Elliott,RB,329.1
James Conner,RB,280
James White,RB,276.6
Melvin Gordon,RB,275.5
David Johnson,RB,246.6
Joe Mixon,RB,243.4
Tarik Cohen,RB,233.94
Kareem Hunt,RB,230.2
Phillip Lindsay,RB,222.8
Kenyan Drake,RB,206.2
Chris Carson,RB,201.4
Derrick Henry,RB,201.36
Nick Chubb,RB,194.5
Tevin Coleman,RB,193.6
Adrian Peterson,RB,189
Jordan Howard,RB,180
Marlon Mack,RB,178.1
T.J. Yeldon,RB,173.1
Lamar Miller,RB,172.6
Aaron Jones,RB,171.4
Austin Ekeler,RB,168.8
Tyreek Hill,WR,334
DeAndre Hopkins,WR,333.5
Davante Adams,WR,329.6
Julio Jones,WR,325.9
Antonio Brown,WR,323.7
Michael Thomas,WR,315.5
Adam Thielen,WR,307.3
JuJu Smith-Schuster,WR,296.9
Mike Evans,WR,290.4
Stefon Diggs,WR,266.3
Robert Woods,WR,265.6
Keenan Allen,WR,260.1
Brandin Cooks,WR,243.2
T.Y. Hilton,WR,239
Odell Beckham,WR,230.34
Tyler Lockett,WR,222.4
Tyler Boyd,WR,221.1
Jarvis Landry,WR,217.12
Amari Cooper,WR,215.5
Julian Edelman,WR,207.42
Kenny Golladay,WR,207.1
Calvin Ridley,WR,206.8
Emmanuel Sanders,WR,198.22
Adam Humphries,WR,188.7
Larry Fitzgerald,WR,185.68
